APM,Precision,AvgDistance,DamageTakenPerMin,DamageDealtPerMin,RangedRatio,DashPerMin,ShieldPerMin,TimeInRiskZone,RewardChosen
28.70,0.83,4.62,77.72,807.09,0.63,8.37,1.20,0.19,Bow Damage
28.71,0.75,4.28,47.85,789.47,0.67,14.35,4.78,0.24,Health
33.96,0.93,4.52,130.19,1086.79,0.53,6.79,6.79,0.25,Health
89.11,0.88,1.65,157.26,1729.87,0.12,0.00,0.00,0.90,Sword Damage
80.88,0.75,1.66,556.08,2451.81,0.13,0.00,5.06,0.91,Max Health
27.84,1.00,4.61,417.66,556.88,0.00,5.57,0.00,0.75,Health
37.19,1.00,5.38,61.99,929.81,0.33,4.13,4.13,0.30,Sword Damage
65.89,0.83,3.63,247.10,2004.28,0.17,0.00,5.49,0.75,Health
25.48,0.86,5.89,115.25,764.29,0.62,9.71,1.21,0.14,Health
25.06,0.81,5.84,68.60,781.49,0.62,10.74,1.19,0.15,Sword Damage
30.88,0.90,4.47,66.18,897.11,0.48,4.41,4.41,0.36,Bow Damage
34.82,0.96,5.21,116.08,883.49,0.41,9.03,3.87,0.33,Velocity
17.85,0.92,6.54,34.32,576.66,0.92,10.98,0.00,0.08,Bow Damage
30.77,0.92,3.98,115.38,910.26,0.46,19.23,1.28,0.39,Velocity
36.04,0.76,5.00,51.49,755.21,0.48,13.73,1.72,0.31,Health
52.78,1.00,2.22,108.65,1396.99,0.35,12.42,9.31,0.68,Bow Damage
36.93,1.00,3.98,194.93,1138.81,0.44,12.31,6.16,0.44,Bow Damage
31.61,0.68,5.10,132.74,733.25,0.40,3.79,2.53,0.44,Max Health
52.08,0.73,2.61,208.33,1041.67,0.00,10.42,3.47,0.79,Sword Damage
33.70,0.80,4.38,33.70,741.43,0.50,10.11,6.74,0.24,Velocity
33.51,0.91,4.60,127.48,866.86,0.46,13.11,2.91,0.34,Shield
21.31,1.00,6.29,0.00,713.78,0.90,8.52,0.00,0.04,Bow Damage
